姓名,来源链接,状态,失败分类,照片链接,照片文件,实际格式,字节数,SHA-256,宽,高,来源批次,错误证据
赖媛媛,https://www.gdzy5413.com/main/ks/templet2/ksdoctorinfo.aspx?bid=929&typeid=134&cid=929&ksid=134&id=447,失败,无照片容器,,,,,,,,FULL_FETCH,"{""detail_http"":200,""detection_feature"":""ksdoctorinfo 本人照片容器存在，但 src/background 为空或仅为 /UploadFiles/image/"",""excluded_resources"":[{""reason"":""照片引用为空目录且无文件名"",""url"":""https://www.gdzy5413.com/UploadFiles/image/""}],""observed_utc"":""2026-08-18T18:09:19Z"",""photo_reference_count"":0,""resource_urls"":[""https://www.gdzy5413.com/UploadFiles/image/""],""template_signature"":""资料卡 div[style*='width: 120px'] > img[width='120px'][height='155px']""}"
邓敏君,https://www.gdzy5413.com/main/ks/templet2/ksdoctorinfo.aspx?bid=929&typeid=134&cid=929&ksid=134&id=445,失败,无照片容器,,,,,,,,FULL_FETCH,"{""detail_http"":200,""detection_feature"":""ksdoctorinfo 本人照片容器存在，但 src/background 为空或仅为 /UploadFiles/image/"",""excluded_resources"":[{""reason"":""照片引用为空目录且无文件名"",""url"":""https://www.gdzy5413.com/UploadFiles/image/""}],""observed_utc"":""2026-08-18T18:09:20Z"",""photo_reference_count"":0,""resource_urls"":[""https://www.gdzy5413.com/UploadFiles/image/""],""template_signature"":""资料卡 div[style*='width: 120px'] > img[width='120px'][height='155px']""}"
陈乐,https://www.gdzy5413.com/main/ks/templet2/ksdoctorinfo.aspx?bid=929&typeid=134&cid=929&ksid=134&id=446,失败,无照片容器,,,,,,,,FULL_FETCH,"{""detail_http"":200,""detection_feature"":""ksdoctorinfo 本人照片容器存在，但 src/background 为空或仅为 /UploadFiles/image/"",""excluded_resources"":[{""reason"":""照片引用为空目录且无文件名"",""url"":""https://www.gdzy5413.com/UploadFiles/image/""}],""observed_utc"":""2026-08-18T18:09:20Z"",""photo_reference_count"":0,""resource_urls"":[""https://www.gdzy5413.com/UploadFiles/image/""],""template_signature"":""资料卡 div[style*='width: 120px'] > img[width='120px'][height='155px']""}"
陈伟萍,https://www.gdzy5413.com/main/ks/templet2/ksdoctorinfo.aspx?bid=929&typeid=134&cid=929&ksid=134&id=444,实采,,https://www.gdzy5413.com/UploadFiles/image/2014-3/20140301102516894_s.jpg,01_试点医院/广东省第二中医院/照片/陈伟萍-医技科-副主任医师-广东省第二中医院.png,png,11443,8ae0c8963d2d89608000ac19af1799079eadfa5947b8dbb02e4d77e7b85f6f03,75,100,TRIAL_REUSE,
宫静,https://www.gdzy5413.com/main/ks/templet2/ksdoctorinfo.aspx?bid=31&typeid=29&cid=31&ksid=29&id=657,实采,,https://www.gdzy5413.com/UploadFiles/image/2017-2/20170215031752407_s.jpg,01_试点医院/广东省第二中医院/照片/宫静-呼吸与危重症医学科-副主任中医师-广东省第二中医院.png,png,164184,f223b5d7c65eb206b366e661395fa06c98e40568acef9ec5e8b9f8cbdb9fec4b,248,365,TRIAL_REUSE,
李慧,https://www.gdzy5413.com/main/ks/templet2/ksdoctorinfo.aspx?bid=31&typeid=29&cid=31&ksid=29&id=87,实采,,https://www.gdzy5413.com/UploadFiles/image/2014-3/20140304052604640_s.jpg,01_试点医院/广东省第二中医院/照片/李慧-呼吸与危重症医学科-主任中医师-广东省第二中医院.png,png,27976,515bef2a7daa1c89737dd02d905c4c61f794c7e24497e137b201746c48f4a0d6,116,160,FULL_FETCH,
赵海方,https://www.gdzy5413.com/main/ks/templet2/ksdoctorinfo.aspx?bid=31&typeid=29&cid=31&ksid=29&id=343,实采,,https://www.gdzy5413.com/UploadFiles/image/2014-3/20140304052330464_s.jpg,01_试点医院/广东省第二中医院/照片/赵海方-呼吸与危重症医学科-副主任中医师-广东省第二中医院.png,png,30129,fbe1d68a74773f88036e2d7739923738f4b782f335c6ba0712df57444a34743d,116,160,FULL_FETCH,
郝小梅,https://www.gdzy5413.com/main/ks/templet2/ksdoctorinfo.aspx?bid=31&typeid=29&cid=31&ksid=29&id=342,实采,,https://www.gdzy5413.com/UploadFiles/image/2014-3/20140304052259314_s.jpg,01_试点医院/广东省第二中医院/照片/郝小梅-呼吸与危重症医学科-副主任医师-广东省第二中医院.png,png,25402,306a4ff51eb741e333e3c071d1ffb51bd95a16ce596ed976042548412bc24961,116,160,FULL_FETCH,
陈宁,https://www.gdzy5413.com/main/ks/templet2/ksdoctorinfo.aspx?bid=31&typeid=29&cid=31&ksid=29&id=341,实采,,https://www.gdzy5413.com/UploadFiles/image/2014-3/20140304052100500_s.jpg,01_试点医院/广东省第二中医院/照片/陈宁-呼吸与危重症医学科-主任中医师-广东省第二中医院.png,png,32816,48584fa6deb7f15d49fd69e7b97053b47d38184b2cc8d7100e6deb7306daaf10,116,160,FULL_FETCH,
陈宁,https://www.gdzy5413.com/main/doctor/specialist.aspx?typeid=564,实采,,https://www.gdzy5413.com/UploadFiles/image/2014-1/20140128022419389.jpg,01_试点医院/广东省第二中医院/照片/陈宁-呼吸科-主任医师-广东省第二中医院.jpg,jpg,50365,0967cefe4f6ba5a76430feb19199587d1ec990efd1a73af49286545cb66c3e8f,342,369,FULL_FETCH,
