姓名,来源链接,状态,失败三态,照片链接,照片文件,字节数,SHA-256,宽,高,错误证据
孙斐斐,https://www.sysucc.org.cn/node/3805,实采,,https://www.sysucc.org.cn/sites/cc.prod.sysucloud2.sysu.edu.cn/files/styles/media_2_3_400_600/public/2023-03/sunfeifei-etzlk-202303.jpg?itok=gxwpKNbR,01_试点医院/中山大学肿瘤防治中心/照片/孙斐斐-儿童肿瘤科-副主任医师-中山大学肿瘤防治中心.jpg,211636,ab60f05bbdef57ce92665153df74c2478f14f826cccc68ec623f0dd4be7bf53f,400,600,
张翼鷟,https://www.sysucc.org.cn/node/3800,实采,,https://www.sysucc.org.cn/sites/cc.prod.sysucloud2.sysu.edu.cn/files/styles/media_2_3_400_600/public/2023-03/zhangyizhuo-etzlk-202303.jpg?itok=6w-up3rS,01_试点医院/中山大学肿瘤防治中心/照片/张翼鷟-儿童肿瘤科-主任医师-中山大学肿瘤防治中心.jpg,208499,e0678a83043c6d89f2110554562713370b331e69f602fadd870aabbfacc48e24,400,600,
朱佳,https://www.sysucc.org.cn/node/3802,实采,,https://www.sysucc.org.cn/sites/cc.prod.sysucloud2.sysu.edu.cn/files/styles/media_2_3_400_600/public/2023-03/zhujia-etzlk-202303.jpg?itok=rHxgNPHF,01_试点医院/中山大学肿瘤防治中心/照片/朱佳-儿童肿瘤科-副主任医师-中山大学肿瘤防治中心.jpg,186066,4712418ceeaac60323149225fe30288d9f4789c49545a9211b273eb03750dc14,400,600,
王娟,https://www.sysucc.org.cn/node/3806,实采,,https://www.sysucc.org.cn/sites/cc.prod.sysucloud2.sysu.edu.cn/files/styles/media_2_3_400_600/public/2023-03/wangjuan-etzlk-202303.jpg?itok=_xxRG7S-,01_试点医院/中山大学肿瘤防治中心/照片/王娟-儿童肿瘤科-副主任医师-中山大学肿瘤防治中心.jpg,209985,3af8a78904b5086b8608dc28f511ba515a2b5fce755067e6e480aab474258677,400,600,
甄子俊,https://www.sysucc.org.cn/node/3801,实采,,https://www.sysucc.org.cn/sites/cc.prod.sysucloud2.sysu.edu.cn/files/styles/media_2_3_400_600/public/2023-03/zhenzijun-etzlk-202303.jpg?itok=x8w5IX7N,01_试点医院/中山大学肿瘤防治中心/照片/甄子俊-儿童肿瘤科-主任医师-中山大学肿瘤防治中心.jpg,166530,11d7729b07ac811e3072729ce5a82019e8ff3f2532c5035f9e71a80742833ede,400,600,
路素英,https://www.sysucc.org.cn/node/3803,实采,,https://www.sysucc.org.cn/sites/cc.prod.sysucloud2.sysu.edu.cn/files/styles/media_2_3_400_600/public/2023-03/lusuying-etzlk-202303.jpg?itok=84kaxEOH,01_试点医院/中山大学肿瘤防治中心/照片/路素英-儿童肿瘤科-副主任医师-中山大学肿瘤防治中心.jpg,210085,ac18583c2c80199f6802a159b1a91de9be2940bf80a891c086449cb8512919be,400,600,
阙旖,https://www.sysucc.org.cn/node/3804,实采,,https://www.sysucc.org.cn/sites/cc.prod.sysucloud2.sysu.edu.cn/files/styles/media_2_3_400_600/public/2026-03/%E9%98%99%E6%97%96.jpg?itok=TWBa3zqV,01_试点医院/中山大学肿瘤防治中心/照片/阙旖-儿童肿瘤科-副主任医师-中山大学肿瘤防治中心.jpg,184553,4ed2ff87193cb94de3970781b15c3e5e1a104339690a6f6bcebaa839095fa88c,400,600,
任超,https://www.sysucc.org.cn/node/1515,实采,,https://www.sysucc.org.cn/sites/cc.prod.sysucloud2.sysu.edu.cn/files/styles/media_2_3_400_600/public/2023-04/renchao-nk-202304.jpg?itok=cSsSjof8,01_试点医院/中山大学肿瘤防治中心/照片/任超-内科-副主任医师-中山大学肿瘤防治中心.jpg,187799,5f2eb332698a549773f1355b60ef3d7505665586e2f6989d4dbb0193e16d1742,400,600,
何明明,https://www.sysucc.org.cn/node/1519,实采,,https://www.sysucc.org.cn/sites/cc.prod.sysucloud2.sysu.edu.cn/files/styles/media_2_3_400_600/public/2024-12/%E4%BD%95%E6%98%8E%E6%98%8E%EF%BC%88%E8%A3%81%E5%89%AA%EF%BC%89.jpg?itok=d7agcIhA,01_试点医院/中山大学肿瘤防治中心/照片/何明明-内科-副主任医师-中山大学肿瘤防治中心.jpg,176652,5ed4f8f255e03a1ab9bf7ea85707e2000607406155b03e7722fd0df6b45c7093,400,600,
侯雪,https://www.sysucc.org.cn/node/1501,实采,,https://www.sysucc.org.cn/sites/cc.prod.sysucloud2.sysu.edu.cn/files/styles/media_2_3_400_600/public/2024-12/12.10%20%E4%BE%AF%E9%9B%AA.JPG?itok=rndCETgD,01_试点医院/中山大学肿瘤防治中心/照片/侯雪-内科-主任医师-中山大学肿瘤防治中心.jpg,206461,b547df02ded885bb336aeb570815d1ce6329bd5c0b684f1e8a6e4365fc10a095,400,600,
