row_number,sequence,hospital,name,source_link,column,removed_length,original_sha256,remaining_sha256,profile_path,profile_replacements,profile_before_sha256,profile_after_sha256
1127,1126,中山大学肿瘤防治中心,王军业,https://www.sysucc.org.cn/node/3616,详情正文摘录,42,a381f85435d32067b653e71e1a7fb0ef16d15c69c0014c5c48876fca0a02861e,3dd89f3a8d8c2d8f71f2cc7d3fbebab37c8cc278b1a45c6a749c263a7bb69557,,0,,
1128,1127,中山大学肿瘤防治中心,王思愚,https://www.sysucc.org.cn/node/3613,详情正文摘录,42,912088220cbbe090a2d6c8c40343840a09d16161176a93f99192c2045fa40c67,29cbe7a7c09cdfd65f274a359ce22fbb67138db1e54b353d26427462f0b17060,医生画像仓库/01_试点医院/中山大学肿瘤防治中心/王思愚.md,1,452520e140c54907a0fa2d282543191f5875a73543de9e82566937e7a4977350,a9d7452307a84a7baea3505c7f64896686de627b8e4981c42033220b1e5e962e
1129,1128,中山大学肿瘤防治中心,王欣,https://www.sysucc.org.cn/node/3614,详情正文摘录,41,dff53a8cf351bda0b23b54accc492cbb4d9f9ccc4541599896c4235b1c6a8260,a59aa75cadd3ef854b5dbed078ea02dac529a9de7f2d3c0903385fbb0df4a2f6,医生画像仓库/01_试点医院/中山大学肿瘤防治中心/王欣.md,1,c2321829e7e0a9057c03fc178ac9c4b7d8e79309e40c8f5cb96590a4d9407235,5ec89c3fe870b3380a3388bc00dd9c95e5059f04914998b3e37676b2a9a58ec4
1130,1129,中山大学肿瘤防治中心,罗孔嘉,https://www.sysucc.org.cn/node/3627,详情正文摘录,42,75c43fd1e51a2462cfaabb5b3989341acdbaad2edeac76b071b4dda5a940c4b8,5ce2375a740529af2a6398c5236e1e882fa79faceb28bfca6f30de865488fbc5,医生画像仓库/01_试点医院/中山大学肿瘤防治中心/罗孔嘉.md,1,33477a85a6e08506cdb54ae409e3931af255dcfd736375dfd240e9c31ae0c291,ce1873dd0635cfb8186cf60683aeaf073f744d9b582bdb8960a568f6217ca67b
1131,1130,中山大学肿瘤防治中心,胡祎,https://www.sysucc.org.cn/node/3621,详情正文摘录,41,63f82db16b2f20dc83403793eecdbdd22f05cf52b1e95064dd07126ef547a2fc,eb002bdf1a21cd9fbaf99a06488ee27f8d5a656e1b103a27543a82fda071bf54,医生画像仓库/01_试点医院/中山大学肿瘤防治中心/胡祎.md,1,ffdb5a51376c9bf6a7d81288319c8232da2d6b17d87ddef57e0c939950d58092,e572a5916658b1f6e2df1400104bf7f8501618adfd0f1d57e6aa2d324d22d419
1132,1131,中山大学肿瘤防治中心,苏晓东,https://www.sysucc.org.cn/node/3619,详情正文摘录,42,7362bf2738bcae7d94791c4b3ac2edea97b2edabfc1f493c762fa3a2ec8ded2d,220408ab89b0941ef0ca51274dd1644cbd56145af92186ee075f8bd836871d78,医生画像仓库/01_试点医院/中山大学肿瘤防治中心/苏晓东.md,1,41422b0ca4d6c0f57f8badb2c01e0e274a72a563d054f38bcd5e34d58c42e5b3,796c86d4b62191622fbaa0fb83211e19243947c68c75bca7a263d21648f147ab
1133,1132,中山大学肿瘤防治中心,赵泽锐,https://www.sysucc.org.cn/node/3628,详情正文摘录,42,e49fbc918f04c0ce963941600a610062e7be5ea8cebfed3bdbb3d85998e6ad80,0410bbe4d914767db9479ec7c5c74bfce6f2fe44f08b8f8878c9706babe600ab,,0,,
1134,1133,中山大学肿瘤防治中心,陈友芳,https://www.sysucc.org.cn/node/3631,详情正文摘录,42,6d78ab7491678e72c5e8fd6854e8b4a26aaf5448686f79a665bf3d754da11315,e4f52515028b441237328c9ade81fb5e5da3a2f0c32900060a30bba2c517d19a,,0,,
1135,1134,中山大学肿瘤防治中心,陈骏英,https://www.sysucc.org.cn/node/3630,详情正文摘录,42,e4d1cc4ff3ff23cacceb8a16474ef566e2e032075a414c42295b9abc3772c120,283cd1958b9d5e9d82d9c05a0ed8fd1dbab35ae6d6ceb1e30c8b7998de0f1941,,0,,
1136,1135,中山大学肿瘤防治中心,马国伟,https://www.sysucc.org.cn/node/3617,详情正文摘录,42,c6f28abc2fd957a0628b5497d66dc328abee428f7ef22e6f6c925df782848486,e278fac0cda6b7d60217ef68a28e73c6ab46d11323341719cb876df3164fe0f1,医生画像仓库/01_试点医院/中山大学肿瘤防治中心/马国伟.md,1,ef4d20f3125066bdd9b78787fbe1d4ff7ae0111df7afa0d8cd201b2c485daf75,c6f3db52850550f6b603f57a459e573b47585ce787385e694d2a59e1949dd85a
1137,1136,中山大学肿瘤防治中心,龙浩,https://www.sysucc.org.cn/node/3609,详情正文摘录,41,ebca6e682c2ba164160263915597361ba13fc7a378a81b3f145b7173cfd808ba,87477a56f17a02dd43b5c81ba59abc2ded48827cc9e140a9b560e1d00f4d3172,医生画像仓库/01_试点医院/中山大学肿瘤防治中心/龙浩.md,1,b98e81fefcba8cfae1d2e6e700be440f10ebc19f634f955e41512be4b5ea6047,50735783bddf9e4b39a45b902da790dd4c831af203a7f3a2b22e823bf21ddd73
1138,1137,中山大学肿瘤防治中心,刘澍,https://www.sysucc.org.cn/node/6423,详情正文摘录,42,dc5531c4acde00e09c5bc4bfb7c4156bce53641070292bb4e2e0e3fcd5908540,55db04adec0efc6e7d4c3f1e2ee3eaf7529426a41eb8df6d82c40e821210d8e8,医生画像仓库/01_试点医院/中山大学肿瘤防治中心/刘澍.md,1,5597dee3fc19a53ea71d95016c1fd45f57e7f4ab0b693a3bfbe774f2b821b6de,f71320930f3fd42643f3441f7f325b201d366214e8ac5373f6d6875ec5a00f18
1139,1138,中山大学肿瘤防治中心,刘韬,https://www.sysucc.org.cn/node/3923,详情正文摘录,42,596d387529254a125475c79c3a3139868f3d9b687e98f9be065a507a3a5ef829,966d3ebeddee5bb5f5a214d0d886fdf9e6b00b9ccbbda6ca59d9bac49a7f96e0,,0,,
1140,1139,中山大学肿瘤防治中心,房财富,https://www.sysucc.org.cn/node/6552,详情正文摘录,43,11ff85dab40348ba500bf00c0efafcbe6034064e2876b053b469bd8728863df8,e25acbbe0e0b784ff85c0cdd27c410286def533acfe6dbc45a29fa7d5adbc5c8,医生画像仓库/01_试点医院/中山大学肿瘤防治中心/房财富.md,1,572b444928c466162ddd2f87f4af30df185a87a90b424d42c9815ba39ac5def1,10357607b8e7535b0ae4da0cbfd6d2bf4e042aaa6f28d8ebf3a57380c01b1bc7
1141,1140,中山大学肿瘤防治中心,梁蔚婷,https://www.sysucc.org.cn/node/3926,详情正文摘录,43,c80406cd25413305474672d8d59775f938d9c6811072c311dbe22001f130c5df,545c194b523848d74916f271bf54465eed1b37d635c300adba1938381e15712b,医生画像仓库/01_试点医院/中山大学肿瘤防治中心/梁蔚婷.md,1,1e7d24b8bde59e5bcd98f9f4018122c64cfda5ea73552e401e2c24e83b866d01,463f619040b9f5b98fa92c083858e7f65da6a80fb8568eae74c77de1d438b81a
1142,1141,中山大学肿瘤防治中心,陈倩超,https://www.sysucc.org.cn/node/3925,详情正文摘录,43,63ad100bec46f9e5c9029ead3d2f5e2006ed79b1f75f9d4db989942d9581263c,8042d00e084f2a427198a252ce478783c3d0c3cb756c9f248d8b4e8e368d719f,医生画像仓库/01_试点医院/中山大学肿瘤防治中心/陈倩超.md,1,b284133a7c6e3886d4e46a1079e5788b1235c9b24c7983d110dd75f60839c843,9bd3d4b876b29c2c256bfc9d3b40babb956040e60a67172a237697c0b7309746
1143,1142,中山大学肿瘤防治中心,陈卓佳,https://www.sysucc.org.cn/node/3924,详情正文摘录,43,59d04fdafb44267164316fa0444d866193603557e0fedc44fcdd7e5e1472fcf3,89cf271c69a6a9634b66d7c236617299c311d0b30bfcf174b1d420f968b06a4a,,0,,
1144,1143,中山大学肿瘤防治中心,黄红兵,https://www.sysucc.org.cn/node/3922,详情正文摘录,43,4c311c1a0766999811da279b8a6f0cf0d0f413334fb00e265d306d835c24db78,0cec5bf29117a94df95da4261f0af3c75608f794e157a591e07574d2a9eacf6c,医生画像仓库/01_试点医院/中山大学肿瘤防治中心/黄红兵.md,1,dab2b4513122272aeb585e4f4db1bdc5b64c01913cdadcf550e53073380d458f,cf07434d5eae1ef679552ca8c2ec708e0d7417658165aa330f2c8a1ed9d4604b
1145,1144,中山大学肿瘤防治中心,吴秉毅,https://www.sysucc.org.cn/node/3793,详情正文摘录,45,df7a83d214e75102e9713389ef3a6c1ef5afe8ee5acc7cffc1e189c34d9986f2,4e625782cd6e96121d17308acdc07f18f2cec77e9b612edc8cf926084f660a7f,医生画像仓库/01_试点医院/中山大学肿瘤防治中心/吴秉毅.md,1,3c640d0e0f85590ac3938fee775b0993cca3b833404d6b8a35e758f40f7aec56,01224139857b7503d927ca2e932df062626eb6ee2894c5e53d774a2b98c7db85
1146,1145,中山大学肿瘤防治中心,夏忠军,https://www.sysucc.org.cn/node/3795,详情正文摘录,45,749228968a3fca742ca882801e5a1d279632c2691acd9170fdca3417aa439689,dbfada8d353d637d2fd4700cabcb26ba5b9c06fa89afa5f8112e6967e2893956,,0,,
1147,1146,中山大学肿瘤防治中心,宋远斌,https://www.sysucc.org.cn/node/6470,详情正文摘录,45,f34514a8677944a4f962f5bcaa60e167156a6e82fd13d2d18bd79783d2423438,dbc42cc1de9736b7ebbe513288d760a35539190ca1d356890652991504f07d5d,医生画像仓库/01_试点医院/中山大学肿瘤防治中心/宋远斌.md,2,5f92396d3ed6cb8e4f0e9cb54e47e017e5579e29987372d3ea96c8d20580f6d2,e04167105fb3062c8a9d5514dd95dfa6a59a3472bc15efb859edb171d3130735
1148,1147,中山大学肿瘤防治中心,崔莹莹,https://www.sysucc.org.cn/node/6489,详情正文摘录,45,603d5a05c69b6e9970975856a1ce4b510b760f97b66ece2bb4822949f6b38e2f,54fa56dae8ee2680b844f376293b06293be4776af61e6c2602f259785b180290,,0,,
1149,1148,中山大学肿瘤防治中心,戴钰俊,https://www.sysucc.org.cn/node/6441,详情正文摘录,45,449c67b5238ec4d115a847afc7bbcd807c0187c914b48a981a24a809caa926ca,b38880e7493de77ce8543fce6c8c349f0107b8814e72fb57b8e94f8a7fd12138,,0,,
