姓名,来源链接,状态,失败三态,照片链接,照片文件,字节数,SHA-256,魔数,宽,高,引用路径风格,错误证据
石宇,https://www.gy3y.cn/ks/fckyjs/fckmz/doctor_221.html,实采,,https://www.gy3y.cn/Upload/202301/638095453095484617.png,01_试点医院/广州医科大学附属第三医院/照片/石宇-荔湾院区妇产科门诊-副主任医师-广州医科大学附属第三医院.png,75684,8f456ec12f7434b9b0f92275f0e2db30b5ebd67168c9e74eb356cfb3892cc965,89504E470D0A1A0A0000000D,200,266,Upload原图,
张文,https://www.gy3y.cn/ks/fckyjs/szyxk/doctor_222.html,实采,,https://www.gy3y.cn/Upload/202006/6372749456955862179328269.jpg,01_试点医院/广州医科大学附属第三医院/照片/张文-荔湾院区生殖医学科（生殖医学中心）-副主任医师-广州医科大学附属第三医院.jpg,216149,d8dd9e6d9e6750446c71bf0afcc72ea0cad8271b1354f10160b04b0806be736f,FFD8FFE000104A4649460001,1428,1900,Upload原图,
张 文,https://www.gy3y.cn/ks/fckyjs/nk/doctor_260.html,实采,,https://www.gy3y.cn/Upload/201801/6365223721174320263646525.jpg,01_试点医院/广州医科大学附属第三医院/照片/张 文-荔湾院区男科-副主任医师-广州医科大学附属第三医院.jpg,286235,cf6e8bf1733ac7cff8241d2d578f313097884b400f1a4b3816cb7277a4db3462,FFD8FFE11466457869660000,1440,1873,Upload原图,
贺芳,https://www.gy3y.cn/ks/fckyjs/fys/doctor_223.html,失败,详情不可达,,,,,,,,,第 1 轮 HTTP 302→200@2026-08-17T11:32:40Z Content-Type text/plain；页面标题 404；第 2 轮 HTTP 302→200@2026-08-17T11:33:40Z Content-Type text/plain；页面标题 404；第 3 轮 HTTP 302→200@2026-08-17T11:34:40Z Content-Type text/plain；页面标题 404；第 4 轮 HTTP 302→200@2026-08-17T11:35:40Z Content-Type text/plain；页面标题 404；第 5 轮 HTTP 302→200@2026-08-17T11:36:40Z Content-Type text/plain；页面标题 404
苏志源,https://www.gy3y.cn/ks/wkxt/mzk/doctor_224.html,实采,,https://www.gy3y.cn/Upload/202301/638094731505220855.png,01_试点医院/广州医科大学附属第三医院/照片/苏志源-荔湾院区麻醉科-副主任医师-广州医科大学附属第三医院.png,46526,9c6ace70892bd2f928aad5d4ab7743bd400bbe31b07469cdcb51996b6c5c5d74,89504E470D0A1A0A0000000D,191,260,Upload原图,第 1 轮 HTTP 200@2026-08-17T11:32:40Z Content-Type text/plain；页面可达；照片引用=https://www.gy3y.cn/Upload/202301/638094731505220855.png；照片 HTTP 200@2026-08-17T11:32:40Z；原始字节=46526；尺寸=191x260；SHA-256=9c6ace70892bd2f928aad5d4ab7743bd400bbe31b07469cdcb51996b6c5c5d74；当轮冻结；第 2 轮 HTTP 200@2026-08-17T11:33:40Z Content-Type text/plain；页面可达；照片引用=https://www.gy3y.cn/Upload/202301/638094731505220855.png；已冻结第 1 轮原始照片，后续轮不覆盖；第 3 轮 HTTP 200@2026-08-17T11:34:40Z Content-Type text/plain；页面可达；照片引用=https://www.gy3y.cn/Upload/202301/638094731505220855.png；已冻结第 1 轮原始照片，后续轮不覆盖；第 4 轮 HTTP 200@2026-08-17T11:35:40Z Content-Type text/plain；页面可达；照片引用=https://www.gy3y.cn/Upload/202301/638094731505220855.png；已冻结第 1 轮原始照片，后续轮不覆盖；第 5 轮 HTTP 200@2026-08-17T11:36:40Z Content-Type text/plain；页面可达；照片引用=https://www.gy3y.cn/Upload/202301/638094731505220855.png；已冻结第 1 轮原始照片，后续轮不覆盖
谭秀华,https://www.gy3y.cn/ks/wkxt/mzk/doctor_225.html,实采,,https://www.gy3y.cn/Upload/201603/6359321816586965204458246.JPG,01_试点医院/广州医科大学附属第三医院/照片/谭秀华-荔湾院区麻醉科-副主任医师-广州医科大学附属第三医院.jpg,33738,0c337c42a1fbd45cd605c92f9824aab36238113ca1844cf31b9488bdefeb4bd3,FFD8FFE11297457869660000,200,266,Upload原图,
李明睿,https://www.gy3y.cn/ks/wkxt/mzk/doctor_226.html,实采,,https://www.gy3y.cn/Upload/201603/6359321827057703593470063.jpg,01_试点医院/广州医科大学附属第三医院/照片/李明睿-荔湾院区麻醉科-副主任医师-广州医科大学附属第三医院.jpg,31464,50247dc44fbdf363c8069724f801ce8bae2b3c90064d9491510be5235cc2bb50,FFD8FFE1118D457869660000,200,266,Upload原图,
石磊,https://www.gy3y.cn/ks/wkxt/mzk/doctor_227.html,实采,,https://www.gy3y.cn/Upload/201603/6359321857817837622826606.jpg,01_试点医院/广州医科大学附属第三医院/照片/石磊-荔湾院区麻醉科-副主任医师-广州医科大学附属第三医院.jpg,209993,fc3888a8aad89447d06f9a29c5ab60f918e552e6440ba1c7264813ae4ef4866f,FFD8FFE111DD457869660000,1000,1370,Upload原图,
张费通,https://www.gy3y.cn/ks/ek/ek1/doctor_229.html,实采,,https://www.gy3y.cn/Upload/201603/6359431777500697985105163.jpg,01_试点医院/广州医科大学附属第三医院/照片/张费通-荔湾院区儿 科（普通儿科-副主任医师-广州医科大学附属第三医院.jpg,24110,d3a167fb906ff9e8872b5e31ab6525fb28320da4ba0b79a391ab2f840dc6f0d8,FFD8FFE000104A4649460001,200,273,Upload原图,
吴繁,https://www.gy3y.cn/ks/ek/ek1/doctor_230.html,实采,,https://www.gy3y.cn/Upload/201603/6359431787294395183017125.jpg,01_试点医院/广州医科大学附属第三医院/照片/吴繁-荔湾院区儿 科（普通儿科-主任医师-广州医科大学附属第三医院.jpg,22184,df48bdb6b8ebd8cc93a1f3f74c1674b1b244afb642508d90607c2547272c27f9,FFD8FFE000104A4649460001,200,243,Upload原图,
李军,https://www.gy3y.cn/ks/ek/ek1/doctor_231.html,实采,,https://www.gy3y.cn/Upload/201603/6359328926906293828866883.jpg,01_试点医院/广州医科大学附属第三医院/照片/李军-荔湾院区儿 科（普通儿科-副主任医师-广州医科大学附属第三医院.jpg,178906,b4c834c28df0038cd109bc1c7a4eaf02d71ba63ab0c0481023fcb3899ef00de0,FFD8FFE113D3457869660000,1000,1370,Upload原图,
罗俏丽,https://www.gy3y.cn/ks/wgk/kqk/doctor_232.html,实采,,https://www.gy3y.cn/Upload/202506/638851664293324484.jpg,01_试点医院/广州医科大学附属第三医院/照片/罗俏丽-荔湾院区口腔科-副主任医师-广州医科大学附属第三医院.jpg,35141,4d916a1591ebf0f67be5fad6c02fcbaa4d37915d9c05f5b6b00f612d45a89686,FFD8FFE1154F457869660000,200,266,Upload原图,
钟柳英,https://www.gy3y.cn/ks/fckyjs/ck/doctor_233.html,实采,,https://www.gy3y.cn/Upload/202302/638119649395097044.jpg,01_试点医院/广州医科大学附属第三医院/照片/钟柳英-荔湾院区产 科（广州重症孕产妇救治中心）-副主任医师-广州医科大学附属第三医院.jpg,31295,da1336975cb16d53bbead9743f23c24c849e8096219fdcc5282be2dd1aaef1e1,FFD8FFE10A6E457869660000,200,266,Upload原图,
孙嫣,https://www.gy3y.cn/ks/nkxt/xhnk/doctor_234.html,实采,,https://www.gy3y.cn/Upload/202208/637957381823601715.jpg,01_试点医院/广州医科大学附属第三医院/照片/孙嫣-荔湾院区消化内科-主任医师-广州医科大学附属第三医院.jpg,11720,30ee85b7b6b325d497af1519efefcb45957554f57a7a7c22002e25dfb0fcfb39,FFD8FFE000104A4649460001,314,457,Upload原图,
陈兢思,https://www.gy3y.cn/ks/fckyjs/cqzdk/doctor_235.html,实采,,https://www.gy3y.cn/Upload/202302/638114736135241954.png,01_试点医院/广州医科大学附属第三医院/照片/陈兢思-荔湾院区产前诊断科（胎儿医学中心）-主任医师-广州医科大学附属第三医院.png,64804,f5ac3ba3b1c92333edd1758a728a9ee9b351e2489356e4306babd191a80f3f32,89504E470D0A1A0A0000000D,200,266,Upload原图,
陈友权,https://www.gy3y.cn/ks/nkxt/xxgnk/doctor_236.html,失败,详情不可达,,,,,,,,,第 1 轮 HTTP 302→200@2026-08-17T11:32:40Z Content-Type text/plain；页面标题 404；第 2 轮 HTTP 302→200@2026-08-17T11:33:40Z Content-Type text/plain；页面标题 404；第 3 轮 HTTP 302→200@2026-08-17T11:34:40Z Content-Type text/plain；页面标题 404；第 4 轮 HTTP 302→200@2026-08-17T11:35:40Z Content-Type text/plain；页面标题 404；第 5 轮 HTTP 302→200@2026-08-17T11:36:40Z Content-Type text/plain；页面标题 404
