姓名,来源链接,状态,失败三态,照片链接,照片文件,字节数,SHA-256,宽,高,错误证据
黄圣松,http://www.gzzoc.org.cn/node/3263,实采,,http://www.gzzoc.org.cn/sites/zoc.live1.sysucloud2.sysu.edu.cn/files/styles/large_960_x_auto_/public/2022-09/%E9%BB%84%E5%9C%A3%E6%9D%BE.jpg?itok=UshyRXjT,01_试点医院/中山大学中山眼科中心/照片/黄圣松-白内障-主任医师-中山大学中山眼科中心.jpg,488326,559d2dc5ef4a3569c4f89e55066c584e065ab20f62ae3d14c5775ebc16a3357c,960,960,
戴烨,http://www.gzzoc.org.cn/node/3119,实采,,http://www.gzzoc.org.cn/sites/zoc.live1.sysucloud2.sysu.edu.cn/files/styles/large_960_x_auto_/public/2022-04/%E6%88%B4%E7%83%A8.jpg?itok=ynZOKAn9,01_试点医院/中山大学中山眼科中心/照片/戴烨-眼免疫与葡萄膜炎-副主任医师-中山大学中山眼科中心.jpg,784141,d99e25fffc07d929d42f852c30f829e4a436c6f7118ca635bee01c363416050b,960,1440,
梁丹,http://www.gzzoc.org.cn/node/3116,实采,,http://www.gzzoc.org.cn/sites/zoc.live1.sysucloud2.sysu.edu.cn/files/styles/large_960_x_auto_/public/2022-04/%E6%A2%81%E4%B8%B9.jpg?itok=_4_dl90V,01_试点医院/中山大学中山眼科中心/照片/梁丹-眼免疫与葡萄膜炎-教授-中山大学中山眼科中心.jpg,873097,3f6789ebce7059bfad25a70c6e3a6da5bf3b5b9a5b4784951f3c99653e26f943,960,1440,
潘媛,http://www.gzzoc.org.cn/node/3120,实采,,http://www.gzzoc.org.cn/sites/zoc.live1.sysucloud2.sysu.edu.cn/files/styles/large_960_x_auto_/public/2022-04/%E6%BD%98%E5%AA%9B.jpg?itok=no-DqN49,01_试点医院/中山大学中山眼科中心/照片/潘媛-眼免疫与葡萄膜炎-副主任医师-中山大学中山眼科中心.jpg,836467,75f564dde033532c6115126f0f15cad2db3cb53eda26d3cebdad8c121ecc6a26,960,1440,
陈晓卿,http://www.gzzoc.org.cn/node/3121,实采,,http://www.gzzoc.org.cn/sites/zoc.live1.sysucloud2.sysu.edu.cn/files/styles/large_960_x_auto_/public/2022-04/%E9%99%88%E6%99%93%E5%8D%BF.jpg?itok=SunLHh9z,01_试点医院/中山大学中山眼科中心/照片/陈晓卿-眼免疫与葡萄膜炎-副主任医师-中山大学中山眼科中心.jpg,805575,aa573dacefd2fc2c82aa2fd1f0f2e9cd1160d6d9ca571dad3ecac1950b8d34e3,960,1440,
于珊珊,http://www.gzzoc.org.cn/node/3182,实采,,http://www.gzzoc.org.cn/sites/zoc.live1.sysucloud2.sysu.edu.cn/files/styles/large_960_x_auto_/public/2022-04/%E4%BA%8E%E7%8F%8A%E7%8F%8A.jpg?itok=SBLuJwWZ,01_试点医院/中山大学中山眼科中心/照片/于珊珊-眼底疾病-副主任医师-中山大学中山眼科中心.jpg,841025,6736a2bfef4ca94fdccbeae2b8e33b4f3e3c2288f17091335dc0ec61bb923d2d,960,1440,
余曦灵,http://www.gzzoc.org.cn/node/3151,实采,,http://www.gzzoc.org.cn/sites/zoc.live1.sysucloud2.sysu.edu.cn/files/styles/large_960_x_auto_/public/2022-04/%E4%BD%99%E6%9B%A6%E7%81%B5.jpg?itok=QhViR1D2,01_试点医院/中山大学中山眼科中心/照片/余曦灵-眼底疾病-副主任医师-中山大学中山眼科中心.jpg,793264,a5ce17838c2fdfbf0397af2f0a4a36bef53449c8d65e86ad99431d6aeea13b76,960,1374,
刘炳乾,http://www.gzzoc.org.cn/node/3149,实采,,http://www.gzzoc.org.cn/sites/zoc.live1.sysucloud2.sysu.edu.cn/files/styles/large_960_x_auto_/public/2022-04/%E5%88%98%E7%82%B3%E4%B9%BE.jpg?itok=8hUF8SEP,01_试点医院/中山大学中山眼科中心/照片/刘炳乾-眼底疾病-主任医师-中山大学中山眼科中心.jpg,758619,027cf19c4818d15a8b5ada5627bbd44d4b53a438afa0451f4f7dda17d6593bd9,960,1362,
吴向华,http://www.gzzoc.org.cn/node/3152,实采,,http://www.gzzoc.org.cn/sites/zoc.live1.sysucloud2.sysu.edu.cn/files/styles/large_960_x_auto_/public/2022-04/%E5%90%B4%E5%90%91%E5%8D%8E.jpg?itok=p-iYYPik,01_试点医院/中山大学中山眼科中心/照片/吴向华-眼底疾病-主治医师-中山大学中山眼科中心.jpg,786847,e9132ca0e790ff3da9a84da3d1cb7fd18985f662066de71aec25a9030bf8adc4,960,1388,
孙立梅,http://www.gzzoc.org.cn/node/3201,实采,,http://www.gzzoc.org.cn/sites/zoc.live1.sysucloud2.sysu.edu.cn/files/styles/large_960_x_auto_/public/2022-04/%E5%AD%99%E7%AB%8B%E6%A2%85.jpg?itok=XIProwNA,01_试点医院/中山大学中山眼科中心/照片/孙立梅-眼底疾病-副主任医师-中山大学中山眼科中心.jpg,793168,9dedd28fe8cc9f5763a0c125cb96808fbe1a70caf572191b9d0074cf818e505f,960,1440,
张婷,http://www.gzzoc.org.cn/node/3290,实采,,http://www.gzzoc.org.cn/sites/zoc.live1.sysucloud2.sysu.edu.cn/files/styles/large_960_x_auto_/public/2022-04/%E5%BC%A0%E5%A9%B7.jpg?itok=SsFGqLBv,01_试点医院/中山大学中山眼科中心/照片/张婷-眼底疾病-副主任医师-中山大学中山眼科中心.jpg,743628,dbc9f41cf1fc45a113d5f37287e9172f7f7d6d9a9e5eb1c1b4a88bbc1551c3d2,960,1337,
张钊填,http://www.gzzoc.org.cn/node/3144,实采,,http://www.gzzoc.org.cn/sites/zoc.live1.sysucloud2.sysu.edu.cn/files/styles/large_960_x_auto_/public/2022-04/%E5%BC%A0%E9%92%8A%E5%A1%AB.jpg?itok=GzFzutnw,01_试点医院/中山大学中山眼科中心/照片/张钊填-眼底疾病-副主任医师-中山大学中山眼科中心.jpg,785049,2b9229db2d77ff6de9c84f2f8b453dd779e8853b2bb2d720735e5329a41bcac5,960,1440,
徐正杰,http://www.gzzoc.org.cn/node/3145,实采,,http://www.gzzoc.org.cn/sites/zoc.live1.sysucloud2.sysu.edu.cn/files/styles/large_960_x_auto_/public/2022-04/%E5%BE%90%E6%AD%A3%E6%9D%B0.jpg?itok=7F7qjfMU,01_试点医院/中山大学中山眼科中心/照片/徐正杰-眼底疾病-主治医师-中山大学中山眼科中心.jpg,793810,9287f26b1690bf1a137fed7813c01bf53671a3ed04f061f489df3a9a88204e91,960,1413,
李加青,http://www.gzzoc.org.cn/node/3171,实采,,http://www.gzzoc.org.cn/sites/zoc.live1.sysucloud2.sysu.edu.cn/files/styles/large_960_x_auto_/public/2022-04/%E6%9D%8E%E5%8A%A0%E9%9D%92.jpg?itok=WCF8NOya,01_试点医院/中山大学中山眼科中心/照片/李加青-眼底疾病-主任医师-中山大学中山眼科中心.jpg,705302,8a4059e39a4bbbcdde7bce80af36f4d12eef0fae3af46fe0fef12b6b49e8066e,960,1380,
李治玺,http://www.gzzoc.org.cn/node/3146,实采,,http://www.gzzoc.org.cn/sites/zoc.live1.sysucloud2.sysu.edu.cn/files/styles/large_960_x_auto_/public/2022-04/%E6%9D%8E%E6%B2%BB%E7%8E%BA.jpg?itok=IA_xCbx4,01_试点医院/中山大学中山眼科中心/照片/李治玺-眼底疾病-副主任医师-中山大学中山眼科中心.jpg,769365,bd712544809b7a3954f24302aab792dfaaf793cef27202d392cbb75021565f49,960,1440,
李涛,http://www.gzzoc.org.cn/node/3142,实采,,http://www.gzzoc.org.cn/sites/zoc.live1.sysucloud2.sysu.edu.cn/files/styles/large_960_x_auto_/public/2022-04/%E6%9D%8E%E6%B6%9B.jpg?itok=9Dipk7Mf,01_试点医院/中山大学中山眼科中心/照片/李涛-眼底疾病-教授-中山大学中山眼科中心.jpg,782268,a2fe7e5d5d502b816987faaaaf173e9024e7249001671613df92e12d37cb74f2,960,1440,
梁小玲,http://www.gzzoc.org.cn/node/3179,实采,,http://www.gzzoc.org.cn/sites/zoc.live1.sysucloud2.sysu.edu.cn/files/styles/large_960_x_auto_/public/2022-04/%E6%A2%81%E5%B0%8F%E7%8E%B2.jpg?itok=Se1s2RPV,01_试点医院/中山大学中山眼科中心/照片/梁小玲-眼底疾病-教授-中山大学中山眼科中心.jpg,1230209,31d47f4f5f52b6b9314f536c0c6204bfed3dadf579af72063cfbac82f02ac92b,960,1440,
肖赛男,http://www.gzzoc.org.cn/node/3150,实采,,http://www.gzzoc.org.cn/sites/zoc.live1.sysucloud2.sysu.edu.cn/files/styles/large_960_x_auto_/public/2022-04/%E8%82%96%E8%B5%9B%E7%94%B7.jpg?itok=gnYctxUG,01_试点医院/中山大学中山眼科中心/照片/肖赛男-眼底疾病-主治医师-中山大学中山眼科中心.jpg,1157781,f29c353b817c31a3b016dc31ff8459fe264da27c63c747a0ca8307e9b991733d,960,1440,
胡洁,http://www.gzzoc.org.cn/node/3135,实采,,http://www.gzzoc.org.cn/sites/zoc.live1.sysucloud2.sysu.edu.cn/files/styles/large_960_x_auto_/public/2022-04/%E8%83%A1%E6%B4%81.jpg?itok=Nz4LccC3,01_试点医院/中山大学中山眼科中心/照片/胡洁-眼底疾病-主任医师-中山大学中山眼科中心.jpg,889416,a973147791cf376fe682d4f73608922b54c5d1b4c836cd559bb10397a8a27081,960,1440,
