姓名,来源链接,状态,失败三态,照片链接,照片文件,字节数,SHA-256,宽,高,错误证据
朱建芸,https://www.zssy.com.cn/node/11083,实采,,https://www.zssy.com.cn/sites/zssy.prod.sysucloud1.sysu.edu.cn/files/2017031515481677474862.jpg,01_试点医院/中山大学附属第三医院/照片/朱建芸-感染性疾病科-主任医师-中山大学附属第三医院.jpg,211874,2ddd9f92dfb4dcdc95ccccd7fda1ae87f023fffe3cd4150eef0993b6f1aa6d0c,500,667,
朱翔,https://www.zssy.com.cn/node/15041,实采,,https://www.zssy.com.cn/sites/zssy.prod.sysucloud1.sysu.edu.cn/files/%E6%9C%B1%E7%BF%94.jpg,01_试点医院/中山大学附属第三医院/照片/朱翔-感染性疾病科-副主任医师-中山大学附属第三医院.jpg,190023,13b3cd14c06caf1a6ed0d871b50cfe88260670f017df1051eab169647b975a1c,500,667,
李向永,https://www.zssy.com.cn/node/15045,实采,,https://www.zssy.com.cn/sites/zssy.prod.sysucloud1.sysu.edu.cn/files/%E6%9D%8E%E5%90%91%E6%B0%B8.jpg,01_试点医院/中山大学附属第三医院/照片/李向永-感染性疾病科-副主任医师-中山大学附属第三医院.jpg,254855,b41d537ca5a713e018b972fb47c58f13eeb6606e972a2341d487607c5ac6c18b,500,667,
李学俊,https://www.zssy.com.cn/node/11087,实采,,https://www.zssy.com.cn/sites/zssy.prod.sysucloud1.sysu.edu.cn/files/2014021909383581003711.jpg,01_试点医院/中山大学附属第三医院/照片/李学俊-感染性疾病科-副主任医师-中山大学附属第三医院.jpg,176594,1208a23a1fbcd39b9233adc48abae1416143e6ff2c01c29e9957f0b48c5b9086,500,667,
李小燕,https://www.zssy.com.cn/node/29890,实采,,https://www.zssy.com.cn/sites/zssy.prod.sysucloud1.sysu.edu.cn/files/%E6%9D%8E%E5%B0%8F%E7%87%952.jpg,01_试点医院/中山大学附属第三医院/照片/李小燕-感染性疾病科-副主任医师-中山大学附属第三医院.jpg,268804,487bd0ebfae49adb5dce70dc6ae1ce046bb66c2b012c8d4bdeea8465ff260792,614,779,
李展翼,https://www.zssy.com.cn/node/15047,实采,,https://www.zssy.com.cn/sites/zssy.prod.sysucloud1.sysu.edu.cn/files/%E6%9D%8E%E5%B1%95%E7%BF%BC.png,01_试点医院/中山大学附属第三医院/照片/李展翼-感染性疾病科-副主任医师-中山大学附属第三医院.png,245551,57055c4c57a23a82d93957b632116cc5c6a39715e9d6816b8a4e82e5013a8146,372,551,
李建国,https://www.zssy.com.cn/node/11102,实采,,https://www.zssy.com.cn/sites/zssy.prod.sysucloud1.sysu.edu.cn/files/2014021909283397204825.jpg,01_试点医院/中山大学附属第三医院/照片/李建国-感染性疾病科-主任医师-中山大学附属第三医院.jpg,229899,bcb5ca9581918db13c2207ef13444c46c82d2d28d289b8461379775ddffb431b,500,667,
李新华,https://www.zssy.com.cn/node/11071,实采,,https://www.zssy.com.cn/sites/zssy.prod.sysucloud1.sysu.edu.cn/files/2017031515583091980448.jpg,01_试点医院/中山大学附属第三医院/照片/李新华-感染性疾病科-主任医师-中山大学附属第三医院.jpg,214985,73484a26b24007b2ac4e94c9cc940ba0586323ba92b95da16971684f8b750d28,500,667,
杨林,https://www.zssy.com.cn/node/11094,实采,,https://www.zssy.com.cn/sites/zssy.prod.sysucloud1.sysu.edu.cn/files/2014021908582042905402.jpg,01_试点医院/中山大学附属第三医院/照片/杨林-感染性疾病科-副研究员-中山大学附属第三医院.jpg,169155,ceea7c2908fb5fe7253aa67427b8bcef32eba405a3bc9a451e317fb5f7dd2cc5,500,667,
林国莉,https://www.zssy.com.cn/node/11069,实采,,https://www.zssy.com.cn/sites/zssy.prod.sysucloud1.sysu.edu.cn/files/2017031516110438291161.jpg,01_试点医院/中山大学附属第三医院/照片/林国莉-感染性疾病科-副主任医师-中山大学附属第三医院.jpg,218993,6f42b0ae5be8a6ddb7ca72325a48f7e3ca5103bed41639337ed7b49f823268fb,500,667,
