详情ID,姓名,来源链接,状态,失败分类,照片引用数,照片链接,照片文件,声明格式,实际格式,字节数,SHA-256,宽,高,来源批次,错误证据
314,陈特立,http://www.ny5y.cn/yisheng_xq.php?id=314,实采,,1,http://www.ny5y.cn/ueditor/php/upload/image/20221012/1665559361131591.png,01_试点医院/南方医科大学第五附属医院/照片/陈特立-肿瘤科-副主任医师-南方医科大学第五附属医院.png,png,png,134803,d48a3b1b579a99f88d01d48d201cdc5001efd9361095a81e81c2b1fc93e372f7,413,579,FULL_FETCH,OWNER_APPROVED_SAME_PERSON_ALLOWLIST: 同名+同职称+擅长逐字一致+同 SHA 异上传路径; sha256=d48a3b1b579a99f88d01d48d201cdc5001efd9361095a81e81c2b1fc93e372f7; owner_ruling=https://github.com/nancywrayg57-jpg/doctor-data-collection/pull/80#issuecomment-5337332486
470,朱志军,http://www.ny5y.cn/yisheng_xq.php?id=470,实采,,1,http://www.ny5y.cn/ueditor/php/upload/image/20221012/1665565657382724.png,01_试点医院/南方医科大学第五附属医院/照片/朱志军-胸心外科-副主任医师-南方医科大学第五附属医院.png,png,png,167677,98ea1425561114e478833fa94c3218fb968bab63e0667418042b0b27d0149f6f,413,579,FULL_FETCH,
474,梁宝磊,http://www.ny5y.cn/yisheng_xq.php?id=474,实采,,1,http://www.ny5y.cn/ueditor/php/upload/image/20221012/1665565767939598.png,01_试点医院/南方医科大学第五附属医院/照片/梁宝磊-胸心外科-副主任医师-南方医科大学第五附属医院.png,png,png,123259,7f0375e0447b78567b0fe1856b4603a1d2f3aad4ead78f9c0b6fe44c683dfefb,413,579,FULL_FETCH,
469,蔡庆勇,http://www.ny5y.cn/yisheng_xq.php?id=469,实采,,1,http://www.ny5y.cn/ueditor/php/upload/image/20221012/1665565436110755.png,01_试点医院/南方医科大学第五附属医院/照片/蔡庆勇-胸心外科-主任医师-南方医科大学第五附属医院.png,png,png,121793,cb682acb60c18f462301c50b9e894a2b819dcfb8ee9e9d212b08dbbf7033d1f6,413,579,FULL_FETCH,
451,唐盛辉,http://www.ny5y.cn/yisheng_xq.php?id=451,实采,,1,http://www.ny5y.cn/ueditor/php/upload/image/20201009/1602228912103792.jpg,01_试点医院/南方医科大学第五附属医院/照片/唐盛辉-脊柱外科-副主任医师-南方医科大学第五附属医院.jpg,jpg,jpg,178796,5db3dcbf801269f3a845852ae10d47bf99dacec7045441e3ec52ea8d40d93c55,750,1050,FULL_FETCH,
32,梁必如,http://www.ny5y.cn/yisheng_xq.php?id=32,实采,,1,http://www.ny5y.cn/ueditor/php/upload/image/20221014/1665712451320500.png,01_试点医院/南方医科大学第五附属医院/照片/梁必如-脊柱外科-主任医师-南方医科大学第五附属医院.png,png,png,176459,8ee2c75fe9551371648c611057fc20a35e650536dbef542158f44da05c0c9cba,413,579,FULL_FETCH,
551,郭丹,http://www.ny5y.cn/yisheng_xq.php?id=551,实采,,1,http://www.ny5y.cn/ueditor/php/upload/image/20260126/1769415249536993.png,01_试点医院/南方医科大学第五附属医院/照片/郭丹-药学部-主任药师-南方医科大学第五附属医院.png,png,png,652837,4ef98eabcbe4d330b0e94fc848f60d7cf9931837ffb7d448cb3c961f7b67e0e4,1269,1506,FULL_FETCH,
558,杨柳,http://www.ny5y.cn/yisheng_xq.php?id=558,实采,,1,http://www.ny5y.cn/ueditor/php/upload/image/20260507/1778115130809040.jpg,01_试点医院/南方医科大学第五附属医院/照片/杨柳-超声诊断科-副主任医师-南方医科大学第五附属医院.jpg,jpg,jpg,193711,e1fa82afeaf5b6e68c0dfc35199c6b9134eb81bf604b6f95cfe6eb2867ec34d0,1269,1392,TRIAL_REUSE,
51,邱建民,http://www.ny5y.cn/yisheng_xq.php?id=51,实采,,1,http://www.ny5y.cn/ueditor/php/upload/image/20221013/1665644260577486.png,01_试点医院/南方医科大学第五附属医院/照片/邱建民-超声诊断科-主任医师-南方医科大学第五附属医院.png,png,png,156785,5ce7e80d5e7bdf924b4a1335372ff4bf4adb5965402679874f09a15a56b0ee05,413,579,FULL_FETCH,
331,邱泱,http://www.ny5y.cn/yisheng_xq.php?id=331,实采,,1,http://www.ny5y.cn/ueditor/php/upload/image/20200529/1590719415.jpg,01_试点医院/南方医科大学第五附属医院/照片/邱泱-超声诊断科-副主任医师-南方医科大学第五附属医院.jpg,jpg,jpg,128764,545b9cdf37dc81e31efa7f116fae81add55883c197928163254aaa4089efa857,990,1440,FULL_FETCH,
