姓名,来源链接,状态,失败三态,照片链接,照片文件,字节数,SHA-256,宽,高,来源批次,错误证据
江春,https://www.gzsys.org.cn/node/15261,实采,,https://www.gzsys.org.cn/sites/syshospital.prod.sysucloud1.sysu.edu.cn/files/fileUpload_17.jpg,01_试点医院/中山大学孙逸仙纪念医院/照片/江春-泌尿外科-主任医师-中山大学孙逸仙纪念医院.jpg,1530151,ddfe34edc19eac8912e18d4396d3290d700f19f473cbd257a8c93f023e9b39da,1824,2736,FULL_FETCH,
韩金利,https://www.gzsys.org.cn/node/15262,实采,,https://www.gzsys.org.cn/sites/syshospital.prod.sysucloud1.sysu.edu.cn/files/9442.jpg,01_试点医院/中山大学孙逸仙纪念医院/照片/韩金利-泌尿外科-主任医师-中山大学孙逸仙纪念医院.jpg,41214,6ff3517bed19791e86f55f501d37442a70380929ba57abe867578c4941120ff5,413,579,FULL_FETCH,
董文,https://www.gzsys.org.cn/node/15265,实采,,https://www.gzsys.org.cn/sites/syshospital.prod.sysucloud1.sysu.edu.cn/files/%E8%91%A3%E6%96%87-%E6%96%B01.jpg,01_试点医院/中山大学孙逸仙纪念医院/照片/董文-泌尿外科-主任医师-中山大学孙逸仙纪念医院.jpg,1776144,c9f19a9035bb56ddbe42c39eaada6eb8efc5423135fb6d682cc1077d642fa0bd,2728,3968,FULL_FETCH,
王秀菊,https://www.gzsys.org.cn/node/14850,实采,,https://www.gzsys.org.cn/sites/syshospital.prod.sysucloud1.sysu.edu.cn/files/doctor/10247.jpg,01_试点医院/中山大学孙逸仙纪念医院/照片/王秀菊-血液内科-主任医师-中山大学孙逸仙纪念医院.jpg,117602,18b085582bbe20d3348f39cffeaa6c59d05555e2d0152bfd8936c3a8797e3ecb,413,579,FULL_FETCH,
李益清,https://www.gzsys.org.cn/node/14853,实采,,https://www.gzsys.org.cn/sites/syshospital.prod.sysucloud1.sysu.edu.cn/files/doctor/9731.jpg,01_试点医院/中山大学孙逸仙纪念医院/照片/李益清-血液内科-主任医师-中山大学孙逸仙纪念医院.jpg,157122,2f179d16304f18d9b7014dc06432eb5c8fe916215175ae726b41051c45b4bbd8,409,567,FULL_FETCH,
黄楷,https://www.gzsys.org.cn/node/15202,实采,,https://www.gzsys.org.cn/sites/syshospital.prod.sysucloud1.sysu.edu.cn/files/13911.png,01_试点医院/中山大学孙逸仙纪念医院/照片/黄楷-心血管外科-主任医师-中山大学孙逸仙纪念医院.png,305599,c227df57049a8d621951a7c46d38bb6d2ccbca618fbd7cd5caf8484b92ce6c6d,413,579,FULL_FETCH,
于水莲,https://www.gzsys.org.cn/doctor/34141,实采,,https://www.gzsys.org.cn/sites/syshospital.prod.sysucloud1.sysu.edu.cn/files/%E4%BA%8E%E6%B0%B4%E8%8E%B2.jpg,01_试点医院/中山大学孙逸仙纪念医院/照片/于水莲-风湿免疫科-主任医师-中山大学孙逸仙纪念医院.png,1431092,33b3f91ebd728ee0da065ecbd5081385494a8da910790132152789325c76ed63,1024,1024,FULL_FETCH,
李丹,https://www.gzsys.org.cn/node/20599,实采,,https://www.gzsys.org.cn/sites/syshospital.prod.sysucloud1.sysu.edu.cn/files/fileUpload_0.jpg,01_试点医院/中山大学孙逸仙纪念医院/照片/李丹-核医学科-主任医师-中山大学孙逸仙纪念医院.jpg,61065,9f464e3ad6ea425b0f0ae8f5024bd133db25cbf99e9626ffd18e37b57264d64a,1280,1280,FULL_FETCH,
刘生,https://www.gzsys.org.cn/doctor/15219,实采,,https://www.gzsys.org.cn/sites/syshospital.prod.sysucloud1.sysu.edu.cn/files/doctor/9905.jpg,01_试点医院/中山大学孙逸仙纪念医院/照片/刘生-核医学科-主任医师-中山大学孙逸仙纪念医院.jpg,15732,9cd4d4a114fb4d02fad1982b9c5acdbdda15f39c1fbd86a1a90d0f5def0910d2,355,507,FULL_FETCH,
张弘,https://www.gzsys.org.cn/node/15220,实采,,https://www.gzsys.org.cn/sites/syshospital.prod.sysucloud1.sysu.edu.cn/files/doctor/12147.JPG,01_试点医院/中山大学孙逸仙纪念医院/照片/张弘-核医学科-主任医师-中山大学孙逸仙纪念医院.jpg,1893164,f7067e1674f855992959a15ae738024755e7848f7adf38f71f56b09f739b1434,2248,3217,FULL_FETCH,
