姓名,来源链接,状态,失败三态,照片链接,照片文件,字节数,SHA-256,魔数,宽,高,引用路径风格,错误证据
罗碧辉,https://www.gyfyyy.cn/cn/ks/nk/xxgnk/doctor_44.html,实采,,https://www.gyfyyy.cn/images/doctor/LUOBIHUI.jpg,01_试点医院/广州医科大学附属第一医院/照片/罗碧辉-心血管内科-主任医师-广州医科大学附属第一医院.jpg,37716,d3dd9c0f6ae8ed156a5d146cb704240e7aba0784d8f5ebb34d662b2c031c2547,FFD8FFDB0084000101010101,325,400,doctor原图,
苏楠,https://www.gyfyyy.cn/cn/ks/nk/xxgnk/doctor_45.html,实采,,https://www.gyfyyy.cn/images/doctor/SUNAN.jpg,01_试点医院/广州医科大学附属第一医院/照片/苏楠-心血管内科-副主任医师-广州医科大学附属第一医院.jpg,41055,0be44b6e06c9f4d3f97831e0c3b56c21a5d65bf3c721fc339e45a1ed4e3d3632,FFD8FFDB0084000101010101,325,400,doctor原图,
鲁明军,https://www.gyfyyy.cn/cn/ks/nk/xxgnk/doctor_47.html,实采,,https://www.gyfyyy.cn/images/doctor/LUMINGJUN.jpg,01_试点医院/广州医科大学附属第一医院/照片/鲁明军-心血管内科-主任医师-广州医科大学附属第一医院.jpg,90307,2eb77d18981f27a6e9bebfaf8144f421182902524b8195a1c196e4d1facf4e83,FFD8FFDB0084000101010101,325,400,doctor原图,
曾智,https://www.gyfyyy.cn/cn/ks/nk/xxgnk/doctor_48.html,实采,,https://www.gyfyyy.cn/images/doctor/CENGZHI.jpg,01_试点医院/广州医科大学附属第一医院/照片/曾智-心血管内科-副主任医师-广州医科大学附属第一医院.jpg,35976,4b495b6e2d4ca8b10a71150c50c723f170becbcd1cd4c986df33110343398cc0,FFD8FFDB0084000101010101,325,400,doctor原图,
肖洁,https://www.gyfyyy.cn/cn/ks/nk/snk/doctor_49.html,实采,,https://www.gyfyyy.cn/images/doctor/XIAOJIE.jpg,01_试点医院/广州医科大学附属第一医院/照片/肖洁-肾内科-主任医师-广州医科大学附属第一医院.jpg,37070,6bc209815926645c358934f6bc4552a5636fc140aef7c7d24e95c9d1f045e892,FFD8FFDB0084000101010101,325,400,doctor原图,
汪华林,https://www.gyfyyy.cn/cn/ks/nk/snk/doctor_50.html,实采,,https://www.gyfyyy.cn/images/doctor/WANGHUALIN.jpg,01_试点医院/广州医科大学附属第一医院/照片/汪华林-肾内科-主任医师-广州医科大学附属第一医院.jpg,38710,bc5b9dcf3eab3d7624be4ec4838c99d9cf8b7ace4fe9468f433fcbb6595a9e47,FFD8FFDB0084000101010101,325,400,doctor原图,
谢辉,https://www.gyfyyy.cn/cn/ks/nk/snk/doctor_51.html,实采,,https://www.gyfyyy.cn/images/doctor/XIEHUI.jpg,01_试点医院/广州医科大学附属第一医院/照片/谢辉-肾内科-主任医师-广州医科大学附属第一医院.jpg,39069,8b6c9d804ed60cd82bcaf6096ecc1ef7d0218f3667093d2a257968b44e7196c0,FFD8FFDB0084000101010101,325,400,doctor原图,
俞小敏,https://www.gyfyyy.cn/cn/ks/nk/snk/doctor_52.html,实采,,https://www.gyfyyy.cn/images/doctor/YUXIAOMIN.jpg,01_试点医院/广州医科大学附属第一医院/照片/俞小敏-肾内科-主任医师-广州医科大学附属第一医院.jpg,37330,7424a8e6fdab6b6e44d7ad72aef779be68f3d6eb73e1ad8d17c79e9c892186c6,FFD8FFDB0084000101010101,325,400,doctor原图,
彭用华,https://www.gyfyyy.cn/cn/ks/nk/snk/doctor_53.html,实采,,https://www.gyfyyy.cn/images/doctor/PENGYONGHUA.jpg,01_试点医院/广州医科大学附属第一医院/照片/彭用华-肾内科-副主任医师-广州医科大学附属第一医院.jpg,42224,38e95b89811a53de38ee2151d482b91c29582bc20bf2fed7dc2108a254668c1c,FFD8FFDB0084000101010101,325,400,doctor原图,
陈琇萌,https://www.gyfyyy.cn/cn/ks/nk/snk/doctor_54.html,实采,,https://www.gyfyyy.cn/images/doctor/CHENXIUMENG.jpg,01_试点医院/广州医科大学附属第一医院/照片/陈琇萌-肾内科-副主任医师-广州医科大学附属第一医院.jpg,36022,eb59025796c535dbca03745ad30dbaab3d99b598c4602aebf032fa8f346a866f,FFD8FFDB0084000101010101,325,400,doctor原图,
黄泳璋,https://www.gyfyyy.cn/cn/ks/nk/snk/doctor_55.html,实采,,https://www.gyfyyy.cn/images/doctor/HUANGYONGZHANG.jpg,01_试点医院/广州医科大学附属第一医院/照片/黄泳璋-肾内科-主治医师-广州医科大学附属第一医院.jpg,40749,6823d1d084f986d34abc228a8493ad896ab42d87634e4b6fc8fa737c3d31a333,FFD8FFDB0084000101010101,325,400,doctor原图,
肖云,https://www.gyfyyy.cn/cn/ks/nk/snk/doctor_56.html,实采,,https://www.gyfyyy.cn/images/doctor/XIAOYUN.jpg,01_试点医院/广州医科大学附属第一医院/照片/肖云-肾内科-主任医师-广州医科大学附属第一医院.jpg,35511,91b3071f51f6695e72416efb833e6acf21bda1e572970d305dc24e67be9cd36a,FFD8FFDB0084000101010101,325,400,doctor原图,
徐评议,https://www.gyfyyy.cn/cn/ks/nk/sjnk/doctor_57.html,实采,,https://www.gyfyyy.cn/images/doctor/XUPINGYI.jpg,01_试点医院/广州医科大学附属第一医院/照片/徐评议-神经内科-主任医师-广州医科大学附属第一医院.jpg,40364,d049a7a6c0a63a583d157d72e1c7cf2938cb00a245475f78b83b07b77eb598e8,FFD8FFDB0084000101010101,325,400,doctor原图,
李少明,https://www.gyfyyy.cn/cn/ks/nk/sjnk/doctor_58.html,实采,,https://www.gyfyyy.cn/images/doctor/LISHAOMING.jpg,01_试点医院/广州医科大学附属第一医院/照片/李少明-神经内科-主任医师-广州医科大学附属第一医院.jpg,41369,84dad32fb7f238ad12142d8ade9888ad85fe2b4a2fbae01e460032f48ce32d8d,FFD8FFDB0084000101010101,325,400,doctor原图,
刘秦,https://www.gyfyyy.cn/cn/ks/nk/sjnk/doctor_59.html,实采,,https://www.gyfyyy.cn/images/doctor/LIUQIN.jpg,01_试点医院/广州医科大学附属第一医院/照片/刘秦-神经内科-副主任医师-广州医科大学附属第一医院.jpg,37756,1cfa97245a01e89b532be479b210c837f41284089f607dec96d8df6d749d5722,FFD8FFDB0084000101010101,325,400,doctor原图,
田作军,https://www.gyfyyy.cn/cn/ks/nk/sjnk/doctor_60.html,实采,,https://www.gyfyyy.cn/images/doctor/TIANZUOJUN.jpg,01_试点医院/广州医科大学附属第一医院/照片/田作军-神经内科-主任医师-广州医科大学附属第一医院.jpg,36042,08dec9d0d24ccf39e39383b75e9f28156111b39cf10814fc130af67d99f99c31,FFD8FFDB0084000101010101,325,400,doctor原图,
吴卓华,https://www.gyfyyy.cn/cn/ks/nk/sjnk/doctor_62.html,实采,,https://www.gyfyyy.cn/images/doctor/WUZHUOHUA.jpg,01_试点医院/广州医科大学附属第一医院/照片/吴卓华-神经内科-主任医师-广州医科大学附属第一医院.jpg,39119,6045a00047e95bc386c49aa5fbc0e44db5e2578169864af70ef54426b650fa5f,FFD8FFDB0084000101010101,325,400,doctor原图,
